country_id,NOC,Gold,Silver,Bronze,Total
437,BLR,2,1,0,3
437,BLR,2,5,7,14
437,BLR,1,6,8,15
437,BLR,3,3,11,17
437,BLR,1,4,4,9
437,BLR,2,5,3,10
437,BLR,1,3,3,7
441,ETH,2,3,2,7
441,ETH,2,0,1,3
441,ETH,4,1,3,8
441,ETH,1,2,5,8
441,ETH,3,2,3,8
441,ETH,1,3,0,4
441,ETH,1,1,2,4
443,LVA,0,0,1,1
449,EGY,1,1,3,5
449,EGY,0,0,3,3
449,EGY,0,3,1,4
449,EGY,1,1,1,3
449,EGY,1,1,4,6
456,MNE,0,1,0,1
461,UGA,0,0,1,1
461,UGA,1,0,0,1
461,UGA,1,1,0,2
461,UGA,2,1,1,4
462,LIE,0,0,1,1
464,MAR,2,1,0,3
464,MAR,0,0,2,2
464,MAR,0,1,4,5
464,MAR,0,0,1,1
464,MAR,0,0,1,1
464,MAR,1,0,1,2
464,MAR,1,0,0,1
466,KOR,4,1,1,6
466,KOR,3,1,2,6
466,KOR,2,2,0,4
466,KOR,6,3,2,11
466,KOR,6,6,2,14
466,KOR,3,3,2,8
466,KOR,2,5,2,9
466,KOR,5,8,4,17
466,KOR,9,12,9,30
466,KOR,7,15,5,27
466,KOR,8,10,10,28
466,KOR,9,3,9,21
466,KOR,13,9,9,31
466,KOR,13,9,10,32
466,KOR,6,4,10,20
468,SMR,0,1,2,3
470,PAN,0,1,0,1
471,COL,0,0,2,2
471,COL,1,0,0,1
471,COL,3,2,3,8
471,COL,1,3,5,9
471,COL,0,3,1,4
471,COL,0,4,1,5
472,PAK,1,0,0,1
